CityCode	CityName	Province	Season	Temperature	TemMax	TemMin	Unit1
230900	七台河市	黑龙江省	Autumn	5.905828171	28.20439812	-18.56236006	℃
230900	七台河市	黑龙江省	Spring	7.203256814	32.76769574	-11.53359839	℃
230900	七台河市	黑龙江省	Summer	19.957386	31.47614736	7.729761705	℃
230900	七台河市	黑龙江省	Winter	-12.05891652	6.586155861	-26.57663722	℃
469006	万宁市	海南省	Autumn	25.59198091	33.58610087	17.788519	℃
469006	万宁市	海南省	Spring	26.70420973	35.18203877	19.60756448	℃
469006	万宁市	海南省	Summer	28.84595957	35.58424321	23.63024161	℃
469006	万宁市	海南省	Winter	21.58622538	30.19625661	12.17165936	℃
460200	三亚市	海南省	Autumn	25.68477649	31.82505624	18.38721264	℃
460200	三亚市	海南省	Spring	26.84852206	34.03340069	20.96068121	℃
460200	三亚市	海南省	Summer	28.35378405	33.25036221	23.16145803	℃
460200	三亚市	海南省	Winter	22.42802085	28.67298232	12.9858825	℃
350400	三明市	福建省	Autumn	21.07558446	34.36180152	6.572469364	℃
350400	三明市	福建省	Spring	18.62524986	30.86310535	7.086323067	℃
350400	三明市	福建省	Summer	26.75140127	36.32360202	18.33283379	℃
350400	三明市	福建省	Winter	11.39578477	26.29939988	-0.15143195	℃
460300	三沙市	海南省	Autumn	27.89120689	32.25968156	24.00425012	℃
460300	三沙市	海南省	Spring	28.84163331	33.26456273	24.04215758	℃
460300	三沙市	海南省	Summer	28.60358613	33.31194553	24.96005045	℃
460300	三沙市	海南省	Winter	26.81465322	30.84131315	23.39835431	℃
411200	三门峡市	河南省	Autumn	13.41367793	32.58088917	-1.836178684	℃
411200	三门峡市	河南省	Spring	14.69552009	33.47092992	-0.374203836	℃
411200	三门峡市	河南省	Summer	24.39971368	36.00184788	14.97547679	℃
411200	三门峡市	河南省	Winter	0.972176679	14.93712117	-10.13666171	℃
310000	上海市	上海市	Autumn	19.99074459	32.26851946	5.871459484	℃
310000	上海市	上海市	Spring	16.28074495	33.38055515	3.10695068	℃
310000	上海市	上海市	Summer	26.75230489	37.26212831	17.25878003	℃
310000	上海市	上海市	Winter	7.345896118	21.41054639	-1.154790198	℃
361100	上饶市	江西省	Autumn	20.21239298	35.77833575	3.66218757	℃
361100	上饶市	江西省	Spring	17.57436217	31.04325681	3.89552886	℃
361100	上饶市	江西省	Summer	26.98374668	36.07198231	17.65657955	℃
361100	上饶市	江西省	Winter	7.842031645	24.59767122	-0.576926554	℃
469007	东方市	海南省	Autumn	26.5141637	32.23147015	19.27105393	℃
469007	东方市	海南省	Spring	27.71685479	34.84039765	19.94483741	℃
469007	东方市	海南省	Summer	29.90000445	34.30766773	24.43878469	℃
469007	东方市	海南省	Winter	22.09982737	29.92781317	11.82843407	℃
441900	东莞市	广东省	Autumn	25.56723505	34.69279541	14.71346089	℃
441900	东莞市	广东省	Spring	23.35415589	33.16503209	13.73731485	℃
441900	东莞市	广东省	Summer	28.96584706	35.86413539	23.41264766	℃
441900	东莞市	广东省	Winter	18.30828572	27.87554193	8.538634646	℃
